" ";" ";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
" ";"0";65.55;64.53;64.26;63.36;62.25;60.52;61.33;64.10;64.23;63.73;64.64;65.86;65.34;65.67;66.51;66.78;67.64;67.68;67.49;68.90;69.98;70.84;71.34;71.36;72.70;72.32;73.08;73.17;73.65
" ";"1";65.72;64.46;64.22;63.47;62.33;60.49;61.36;63.91;63.86;63.37;64.36;65.51;64.97;65.13;66.07;66.23;67.04;67.07;66.85;68.29;69.27;70.14;70.50;70.57;71.83;71.51;72.26;72.39;72.86
" ";"2";64.85;63.56;63.30;62.62;61.40;59.55;60.48;62.95;62.90;62.47;63.44;64.57;64.04;64.20;65.12;65.27;66.10;66.10;65.89;67.33;68.31;69.19;69.53;69.59;70.86;70.56;71.27;71.40;71.87
" ";"3";63.93;62.64;62.36;61.70;60.44;58.59;59.56;61.98;61.93;61.52;62.48;63.63;63.07;63.26;64.16;64.30;65.13;65.12;64.90;66.35;67.31;68.23;68.54;68.62;69.89;69.56;70.29;70.41;70.90
" ";"4";63.00;61.69;61.41;60.77;59.48;57.61;58.62;61.01;60.96;60.55;61.51;62.65;62.09;62.27;63.21;63.30;64.13;64.16;63.93;65.36;66.31;67.25;67.54;67.64;68.89;68.57;69.32;69.41;69.91
" ";"5";62.05;60.74;60.45;59.82;58.51;56.64;57.67;60.04;60.00;59.59;60.53;61.69;61.09;61.30;62.21;62.31;63.14;63.18;62.96;64.38;65.32;66.26;66.55;66.66;67.89;67.59;68.34;68.42;68.91
" ";"6";61.10;59.79;59.49;58.87;57.55;55.66;56.73;59.06;59.03;58.62;59.55;60.70;60.14;60.34;61.24;61.34;62.14;62.19;61.99;63.38;64.32;65.27;65.55;65.67;66.90;66.61;67.36;67.44;67.91
" ";"7";60.14;58.83;58.53;57.91;56.57;54.69;55.77;58.09;58.07;57.64;58.57;59.74;59.18;59.37;60.24;60.36;61.17;61.19;60.99;62.39;63.32;64.29;64.58;64.68;65.90;65.62;66.36;66.45;66.91
" ";"8";59.18;57.88;57.57;56.94;55.60;53.71;54.81;57.12;57.10;56.67;57.59;58.76;58.20;58.40;59.25;59.37;60.21;60.20;60.01;61.41;62.34;63.29;63.59;63.69;64.92;64.63;65.37;65.45;65.93
" ";"9";58.22;56.92;56.60;55.97;54.63;52.74;53.84;56.14;56.13;55.70;56.61;57.78;57.20;57.40;58.27;58.38;59.22;59.21;59.02;60.46;61.34;62.31;62.60;62.70;63.93;63.64;64.37;64.46;64.94
" ";"10";57.26;55.96;55.63;55.00;53.66;51.76;52.87;55.16;55.16;54.72;55.63;56.81;56.22;56.43;57.27;57.38;58.24;58.24;58.03;59.46;60.34;61.32;61.60;61.70;62.95;62.66;63.37;63.47;63.94
" ";"11";56.30;55.01;54.66;54.03;52.68;50.78;51.89;54.19;54.19;53.74;54.65;55.84;55.25;55.44;56.30;56.40;57.25;57.24;57.04;58.49;59.34;60.33;60.62;60.71;61.95;61.67;62.39;62.47;62.95
" ";"12";55.33;54.04;53.69;53.06;51.71;49.81;50.92;53.21;53.23;52.76;53.67;54.86;54.28;54.45;55.32;55.41;56.25;56.25;56.06;57.49;58.35;59.33;59.65;59.73;60.96;60.68;61.39;61.49;61.96
" ";"13";54.36;53.08;52.72;52.09;50.74;48.84;49.95;52.24;52.26;51.79;52.69;53.86;53.31;53.47;54.33;54.42;55.28;55.29;55.09;56.50;57.35;58.34;58.68;58.74;59.97;59.68;60.39;60.50;60.97
" ";"14";53.40;52.12;51.75;51.13;49.78;47.88;48.99;51.26;51.29;50.81;51.71;52.88;52.32;52.48;53.35;53.43;54.28;54.30;54.10;55.50;56.37;57.35;57.71;57.74;58.98;58.69;59.41;59.51;59.97
" ";"15";52.44;51.16;50.79;50.17;48.82;46.92;48.03;50.29;50.32;49.84;50.73;51.91;51.34;51.50;52.37;52.44;53.29;53.31;53.10;54.54;55.39;56.37;56.72;56.74;57.98;57.72;58.42;58.52;58.97
" ";"16";51.49;50.21;49.84;49.22;47.87;45.96;47.09;49.33;49.36;48.87;49.77;50.93;50.36;50.54;51.40;51.48;52.31;52.33;52.12;53.56;54.41;55.39;55.72;55.74;56.99;56.73;57.44;57.54;58.00
" ";"17";50.56;49.27;48.91;48.28;46.93;45.03;46.15;48.37;48.41;47.92;48.82;49.94;49.41;49.59;50.45;50.51;51.34;51.38;51.17;52.56;53.41;54.42;54.72;54.74;56.03;55.73;56.49;56.57;57.02
" ";"18";49.65;48.36;48.00;47.35;46.01;44.10;45.24;47.43;47.48;46.98;47.88;49.00;48.46;48.64;49.48;49.58;50.40;50.44;50.19;51.62;52.42;53.45;53.74;53.79;55.06;54.78;55.53;55.60;56.06
" ";"19";48.74;47.46;47.09;46.45;45.11;43.20;44.34;46.50;46.57;46.05;46.97;48.05;47.55;47.72;48.54;48.66;49.47;49.51;49.26;50.70;51.46;52.52;52.78;52.82;54.09;53.84;54.56;54.63;55.08
" ";"20";47.83;46.57;46.19;45.57;44.23;42.32;43.45;45.57;45.69;45.12;46.06;47.13;46.62;46.86;47.62;47.77;48.51;48.59;48.31;49.75;50.51;51.56;51.84;51.87;53.12;52.89;53.61;53.64;54.11
" ";"21";46.93;45.69;45.30;44.69;43.37;41.46;42.58;44.66;44.82;44.21;45.17;46.25;45.71;45.97;46.71;46.84;47.60;47.68;47.42;48.84;49.58;50.64;50.92;50.94;52.16;51.94;52.66;52.73;53.16
" ";"22";46.03;44.81;44.40;43.82;42.51;40.60;41.71;43.75;43.95;43.29;44.27;45.35;44.84;45.10;45.80;45.93;46.66;46.77;46.50;47.94;48.63;49.70;49.99;49.97;51.22;51.03;51.68;51.76;52.19
" ";"23";45.13;43.92;43.50;42.95;41.66;39.76;40.84;42.85;43.08;42.39;43.38;44.46;43.94;44.28;44.91;45.04;45.78;45.84;45.62;47.02;47.69;48.74;49.04;49.04;50.29;50.10;50.71;50.82;51.23
" ";"24";44.23;43.03;42.61;42.09;40.80;38.91;39.96;41.96;42.21;41.49;42.49;43.55;43.06;43.37;43.98;44.14;44.87;44.95;44.74;46.14;46.77;47.79;48.09;48.10;49.34;49.16;49.77;49.86;50.27
