" ";" ";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
" ";"0";74.68;74.67;74.73;74.59;73.78;72.76;74.13;75.35;75.68;75.26;75.77;76.34;76.54;77.22;77.29;78.00;78.29;78.60;78.80;79.41;80.06;80.54;81.01;81.17;81.33;81.54;81.85;81.90;82.34
" ";"1";74.57;74.43;74.58;74.63;73.78;72.70;74.11;74.99;75.46;74.91;75.38;75.90;76.10;76.57;76.71;77.51;77.69;77.85;78.19;78.76;79.30;79.74;80.20;80.50;80.51;80.72;81.02;81.01;81.46
" ";"2";73.68;73.55;73.69;73.71;72.86;71.75;73.20;74.05;74.50;74.00;74.49;74.95;75.19;75.58;75.77;76.56;76.73;76.88;77.19;77.81;78.34;78.79;79.25;79.51;79.57;79.73;80.04;80.03;80.48
" ";"3";72.75;72.62;72.75;72.77;71.92;70.79;72.25;73.09;73.53;73.05;73.55;73.99;74.20;74.60;74.82;75.57;75.76;75.91;76.24;76.83;77.36;77.81;78.25;78.52;78.61;78.74;79.04;79.04;79.49
" ";"4";71.80;71.68;71.79;71.82;70.97;69.82;71.30;72.13;72.55;72.09;72.59;73.01;73.24;73.63;73.85;74.58;74.82;74.92;75.24;75.83;76.37;76.82;77.25;77.55;77.62;77.75;78.05;78.06;78.49
" ";"5";70.84;70.72;70.81;70.87;70.01;68.85;70.33;71.15;71.57;71.13;71.62;72.04;72.29;72.64;72.86;73.62;73.85;73.94;74.26;74.83;75.37;75.83;76.26;76.55;76.63;76.79;77.08;77.06;77.52
" ";"6";69.88;69.76;69.83;69.91;69.05;67.87;69.36;70.18;70.58;70.16;70.65;71.10;71.33;71.66;71.86;72.64;72.87;72.96;73.28;73.83;74.42;74.87;75.26;75.56;75.64;75.80;76.10;76.08;76.52
" ";"7";68.91;68.79;68.85;68.94;68.09;66.89;68.39;69.20;69.59;69.18;69.67;70.11;70.37;70.69;70.88;71.66;71.88;71.96;72.28;72.83;73.44;73.90;74.27;74.57;74.64;74.82;75.10;75.09;75.53
" ";"8";67.94;67.82;67.86;67.96;67.11;65.91;67.41;68.23;68.61;68.20;68.70;69.15;69.37;69.71;69.89;70.66;70.92;70.96;71.30;71.83;72.45;72.91;73.27;73.57;73.66;73.82;74.12;74.11;74.53
" ";"9";66.97;66.84;66.88;66.98;66.14;64.93;66.43;67.26;67.62;67.22;67.72;68.16;68.38;68.72;68.90;69.67;69.94;70.00;70.30;70.83;71.45;71.91;72.28;72.57;72.69;72.82;73.12;73.11;73.53
" ";"10";65.99;65.86;65.90;66.00;65.16;63.96;65.45;66.28;66.64;66.24;66.74;67.16;67.40;67.74;67.90;68.67;68.94;69.01;69.31;69.84;70.46;70.91;71.28;71.58;71.69;71.82;72.12;72.11;72.54
" ";"11";65.01;64.88;64.92;65.02;64.18;62.97;64.47;65.31;65.65;65.25;65.76;66.18;66.40;66.74;66.91;67.68;67.94;68.02;68.31;68.84;69.46;69.93;70.29;70.59;70.71;70.82;71.15;71.12;71.55
" ";"12";64.03;63.89;63.94;64.04;63.19;61.99;63.49;64.34;64.67;64.26;64.77;65.18;65.43;65.75;65.94;66.68;66.97;67.02;67.31;67.84;68.46;68.93;69.29;69.59;69.72;69.83;70.15;70.14;70.56
" ";"13";63.05;62.92;62.95;63.06;62.21;61.01;62.50;63.36;63.68;63.27;63.79;64.18;64.43;64.76;64.95;65.68;65.98;66.03;66.32;66.86;67.46;67.94;68.30;68.59;68.74;68.83;69.15;69.14;69.60
" ";"14";62.07;61.94;61.97;62.09;61.23;60.03;61.51;62.39;62.70;62.28;62.80;63.19;63.45;63.77;63.98;64.71;64.99;65.03;65.35;65.87;66.48;66.94;67.33;67.60;67.74;67.83;68.16;68.14;68.61
" ";"15";61.10;60.97;60.99;61.13;60.26;59.05;60.53;61.41;61.72;61.29;61.82;62.22;62.46;62.78;63.01;63.71;63.99;64.06;64.38;64.90;65.48;65.95;66.36;66.60;66.76;66.87;67.19;67.14;67.61
" ";"16";60.14;60.00;60.01;60.15;59.28;58.09;59.55;60.43;60.74;60.31;60.84;61.24;61.48;61.78;62.01;62.73;63.02;63.09;63.40;63.95;64.49;64.99;65.39;65.61;65.77;65.90;66.21;66.17;66.63
" ";"17";59.18;59.04;59.04;59.18;58.31;57.13;58.58;59.45;59.77;59.33;59.87;60.28;60.50;60.79;61.05;61.74;62.04;62.11;62.41;62.97;63.50;64.00;64.41;64.61;64.77;64.92;65.23;65.18;65.64
" ";"18";58.21;58.07;58.08;58.22;57.34;56.18;57.62;58.47;58.80;58.35;58.89;59.29;59.51;59.81;60.05;60.74;61.06;61.12;61.41;61.98;62.50;63.00;63.43;63.62;63.80;63.93;64.25;64.21;64.67
" ";"19";57.25;57.10;57.11;57.25;56.38;55.23;56.65;57.49;57.84;57.37;57.92;58.33;58.54;58.84;59.09;59.74;60.09;60.14;60.43;61.03;61.51;62.00;62.46;62.67;62.83;62.94;63.28;63.25;63.67
" ";"20";56.28;56.14;56.14;56.29;55.41;54.30;55.68;56.52;56.87;56.41;56.95;57.35;57.57;57.88;58.13;58.78;59.11;59.17;59.46;60.04;60.53;61.02;61.47;61.68;61.84;61.97;62.30;62.31;62.69
" ";"21";55.31;55.17;55.16;55.33;54.45;53.37;54.72;55.54;55.91;55.44;55.97;56.39;56.61;56.94;57.15;57.81;58.15;58.20;58.50;59.06;59.55;60.03;60.49;60.70;60.86;60.98;61.32;61.35;61.72
" ";"22";54.34;54.21;54.19;54.37;53.49;52.45;53.75;54.56;54.94;54.47;55.00;55.41;55.63;55.97;56.18;56.84;57.17;57.22;57.53;58.10;58.56;59.04;59.52;59.72;59.88;60.00;60.34;60.39;60.74
" ";"23";53.38;53.25;53.21;53.40;52.53;51.53;52.79;53.59;53.96;53.51;54.03;54.45;54.66;54.99;55.18;55.87;56.22;56.26;56.58;57.13;57.57;58.05;58.55;58.74;58.88;59.01;59.35;59.43;59.75
" ";"24";52.42;52.29;52.24;52.43;51.56;50.61;51.82;52.62;52.98;52.55;53.06;53.47;53.70;54.04;54.20;54.91;55.23;55.30;55.62;56.17;56.64;57.06;57.56;57.77;57.90;58.07;58.35;58.45;58.78
" ";"25";51.46;51.33;51.27;51.46;50.61;49.68;50.86;51.65;51.99;51.59;52.09;52.48;52.73;53.05;53.26;53.94;54.26;54.33;54.64;55.20;55.70;56.09;56.56;56.80;56.90;57.08;57.36;57.49;57.80
" ";"26";50.51;50.36;50.30;50.49;49.64;48.74;49.90;50.68;51.01;50.63;51.13;51.52;51.74;52.08;52.30;52.96;53.28;53.37;53.70;54.23;54.75;55.13;55.59;55.82;55.92;56.09;56.38;56.51;56.81
" ";"27";49.57;49.40;49.34;49.52;48.68;47.81;48.94;49.71;50.03;49.66;50.16;50.56;50.78;51.09;51.34;51.98;52.29;52.38;52.73;53.25;53.79;54.14;54.60;54.86;54.94;55.12;55.42;55.53;55.81
" ";"28";48.62;48.44;48.38;48.55;47.72;46.87;47.99;48.73;49.05;48.69;49.19;49.60;49.80;50.12;50.36;51.01;51.33;51.44;51.74;52.28;52.81;53.19;53.62;53.88;53.96;54.15;54.44;54.56;54.82
" ";"29";47.67;47.47;47.41;47.59;46.76;45.94;47.03;47.76;48.08;47.72;48.22;48.60;48.82;49.15;49.39;50.03;50.34;50.46;50.78;51.30;51.82;52.21;52.64;52.90;53.00;53.18;53.47;53.61;53.85
" ";"30";46.72;46.50;46.45;46.63;45.80;45.00;46.07;46.79;47.11;46.76;47.26;47.64;47.86;48.17;48.42;49.05;49.36;49.48;49.80;50.34;50.85;51.22;51.70;51.94;52.04;52.20;52.49;52.63;52.87
" ";"31";45.76;45.53;45.48;45.67;44.84;44.07;45.12;45.82;46.13;45.79;46.30;46.70;46.90;47.21;47.43;48.09;48.38;48.52;48.83;49.37;49.87;50.25;50.72;50.98;51.07;51.24;51.55;51.65;51.89
" ";"32";44.81;44.56;44.52;44.71;43.88;43.13;44.16;44.86;45.16;44.83;45.34;45.72;45.94;46.25;46.45;47.13;47.42;47.54;47.86;48.39;48.89;49.29;49.78;50.02;50.09;50.29;50.56;50.70;50.90
" ";"33";43.85;43.60;43.56;43.75;42.93;42.20;43.21;43.90;44.19;43.88;44.39;44.74;45.00;45.28;45.47;46.16;46.47;46.59;46.89;47.44;47.92;48.30;48.81;49.04;49.12;49.34;49.58;49.75;49.94
" ";"34";42.89;42.64;42.60;42.79;41.98;41.26;42.26;42.95;43.22;42.93;43.45;43.80;44.03;44.35;44.51;45.19;45.53;45.63;45.94;46.45;46.93;47.32;47.83;48.07;48.16;48.37;48.61;48.78;48.98
" ";"35";41.94;41.69;41.64;41.84;41.03;40.33;41.31;42.01;42.27;41.99;42.50;42.88;43.09;43.39;43.54;44.24;44.56;44.66;44.99;45.50;45.95;46.36;46.85;47.09;47.19;47.43;47.63;47.83;48.00
" ";"36";40.98;40.74;40.69;40.89;40.08;39.41;40.37;41.08;41.32;41.05;41.55;41.93;42.20;42.43;42.60;43.27;43.60;43.70;44.02;44.53;45.01;45.39;45.89;46.13;46.22;46.46;46.67;46.89;47.05
" ";"37";40.03;39.79;39.75;39.94;39.14;38.50;39.44;40.16;40.38;40.12;40.61;40.99;41.26;41.48;41.64;42.31;42.63;42.74;43.06;43.56;44.05;44.42;44.96;45.17;45.27;45.47;45.72;45.95;46.05
" ";"38";39.08;38.85;38.80;39.00;38.20;37.60;38.52;39.24;39.45;39.20;39.66;40.06;40.31;40.53;40.71;41.34;41.66;41.77;42.09;42.59;43.10;43.47;43.99;44.22;44.31;44.52;44.75;45.00;45.07
" ";"39";38.14;37.92;37.87;38.06;37.28;36.71;37.61;38.32;38.52;38.28;38.72;39.13;39.38;39.60;39.77;40.37;40.76;40.80;41.15;41.65;42.16;42.50;43.03;43.25;43.35;43.58;43.77;44.05;44.10
" ";"40";37.19;36.98;36.94;37.13;36.37;35.82;36.71;37.40;37.59;37.36;37.78;38.20;38.44;38.64;38.84;39.41;39.81;39.86;40.19;40.67;41.20;41.54;42.09;42.27;42.38;42.63;42.81;43.09;43.12
